ArraySize,shuffle_time (ms), copy_time (ms), merge_sort_time (ms), bubble_sort_time (ms), binary_search_time (ms), find_time, shuffle_op, merge_sort_op, bubble_sort_op, binary_search_op
1000,0,0,0,6,0,0,999,18681,248677,20
6000,0,0,2,252,0,0,5999,143621,8982358,24
11000,0,0,5,829,0,0,10999,282594,30360355,20
16000,1,0,7,1753,0,0,15999,426833,64487703,26
21000,1,0,9,3033,0,0,20999,578709,110752364,30
26000,2,0,12,4623,0,0,25999,732189,167687207,30
31000,2,0,14,6601,0,0,30999,886751,241203061,26
36000,2,0,17,8999,0,0,35999,1046332,322464723,32
41000,3,0,19,11635,0,0,40999,1208755,423554825,30
46000,3,0,22,14644,0,0,45999,1371828,530340095,30
51000,3,0,24,18093,0,0,50999,1535370,647105285,32
56000,4,0,27,21714,0,0,55999,1700092,787627247,30
61000,4,0,29,25772,1,0,60999,1864775,931251764,32
66000,5,0,32,30054,1,0,65999,2030210,1088018979,32
71000,5,0,34,34752,1,0,70999,2202098,1259935779,34
76000,6,0,37,40019,1,0,75999,2374234,1444930499,32
81000,6,0,40,45365,1,0,80999,2547120,1647815698,30
86000,6,0,42,51212,1,0,85999,2719902,1860659764,28
91000,7,0,47,57927,1,0,90999,2892984,2077539591,26
96000,7,0,50,64418,1,0,95999,3066232,1987983228,32
101000,8,0,50,70568,1,0,100999,3240248,1734867560,32
106000,8,0,53,78934,1,0,105999,3414321,1487445968,24
111000,9,0,63,85539,1,0,110999,3588679,1215591862,32
116000,9,0,58,93058,2,0,115999,3763498,935103521,22
121000,12,0,62,103847,2,0,120999,3938327,632193390,24
126000,10,0,64,111553,2,0,125999,4113071,323906463,34
131000,10,0,66,120865,2,0,130999,4288162,9389305,34
136000,10,0,69,130249,2,0,135999,4470015,329723925,34
141000,11,0,71,139589,2,0,140999,4652106,689763686,36
146000,12,1,93,148444,2,0,145999,4834216,1028076764,34
